---------------------------------------------------------------------------
Morphalou3.1 : Lexique morphologique ouvert du français – Ce fichier contient uniquement les Adverbes
4 157 lemmes et 4 167 formes fléchies de catégorie Adverbes (sur un total de 159 271 lemmes et 976 570 formes fléchies, toutes catégories confondues)
Le maintien et la mise à jour du lexique sont assurés par l'ATILF CNRS. (44 avenue de la Libération 54000 Nancy)
Morphalou3 est distribué sous licence LGPL-LR.
Version de 6/2016
Morphalou3 est le résultat de la fusion de 5 lexiques :
	- Morphalou2 (décembre 2013) : http://www.cnrtl.fr/lexiques/morphalou/
	- DELA (décembre 2011) : http://infolingu.univ-mlv.fr/
	- Dicollecte (4.3) : http://dicollecte.org/home.php?prj=fr
	- Lefff (2.1) : http://www.labri.fr/perso/clement/lefff/
	- LGLex et LGLexLefff (3.4) : http://infolingu.univ-mlv.fr/
Ce travail a été réalisé par Marie TONNELIER dans le cadre du projet Ortolang. (ORTOLANG bénéficie d'une aide de l’Etat au titre du programme « Investissements d’avenir » ANR–11–EQPX–0032)
---------------------------------------------------------------------------
LEMME;;;;;;;;;FLEXION;;;;;;;;
GRAPHIE;ID;CATÉGORIE;SOUS CATÉGORIE;LOCUTION;GENRE;AUTRES LEMMES LIÉS;PHONÉTIQUE;ORIGINES;GRAPHIE;ID;NOMBRE;MODE;GENRE;TEMPS;PERSONNE;PHONÉTIQUE;ORIGINES
abandonnément;33;Adverbe;;;-;;a b a~ d O n e m a~ OU a b a~ d O/ n E/ m a~ ;morphalou2 dela lglex;abandonnément;319;-;-;-;-;-;a b a~ d O n e m a~ OU a b a~ d O/ n E/ m a~ ;morphalou2 dela lglex
abjectement;133;Adverbe;;;-;;a b Z E k t @ m a~;morphalou2 dela dicollecte lglex lefff;abjectement;1145;-;-;-;-;-;a b Z E k t @ m a~;morphalou2 dela dicollecte lglex lefff
ablativo;141;Adverbe;;;-;;a b l a t i v o;morphalou2;ablativo;1213;-;-;-;-;-;a b l a t i v o;morphalou2
abominablement;173;Adverbe;;;-;;a b O m i n a b l @ m a~ OU a b O/ m i n a b l @ m a~ ;morphalou2 dela dicollecte lglex lefff;abominablement;1434;-;-;-;-;-;a b O m i n a b l @ m a~ OU a b O/ m i n a b l @ m a~ ;morphalou2 dela dicollecte lglex lefff
abondamment;176;Adverbe;;;-;;a b o~ d a m a~;morphalou2 dela dicollecte lglex lefff;abondamment;1488;-;-;-;-;-;a b o~ d a m a~;morphalou2 dela dicollecte lglex lefff
abruptement;298;Adverbe;;;-;;a b R y p t @ m a~;morphalou2 dela dicollecte lglex lefff;abruptement;2957;-;-;-;-;-;a b R y p t @ m a~;morphalou2 dela dicollecte lglex lefff
abrégément;319;Adverbe;;;-;;a b R e Z e m a~ OU a b R E/ Z E/ m a~ ;morphalou2 dela lglex;abrégément;3153;-;-;-;-;-;a b R e Z e m a~ OU a b R E/ Z E/ m a~ ;morphalou2 dela lglex
abréviativement;326;Adverbe;;;-;;a b R e v j a t i v @ m a~ OU a b R E/ v j a t i v @ m a~ ;morphalou2 dela dicollecte lglex lefff;abréviativement;3170;-;-;-;-;-;a b R e v j a t i v @ m a~ OU a b R E/ v j a t i v @ m a~ ;morphalou2 dela dicollecte lglex lefff
absolument;366;Adverbe;;;-;;a p s O l y m a~ OU a p s O/ l y m a~ ;morphalou2 dela dicollecte lglex lefff;absolument;3512;-;-;-;-;-;a p s O l y m a~ OU a p s O/ l y m a~ ;morphalou2 dela dicollecte lglex lefff
abstractivement;421;Adverbe;;;-;;a p s t R a k t i v @ m a~;morphalou2 dela lglex;abstractivement;3934;-;-;-;-;-;a p s t R a k t i v @ m a~;morphalou2 dela lglex
abstraitement;426;Adverbe;;;-;;a p s t R E t @ m a~ OU a p s t R E/ t @ m a~ ;morphalou2 dela dicollecte lglex lefff;abstraitement;3982;-;-;-;-;-;a p s t R E t @ m a~ OU a p s t R E/ t @ m a~ ;morphalou2 dela dicollecte lglex lefff
absurdement;433;Adverbe;;;-;;a p s y R d @ m a~;morphalou2 dela dicollecte lglex;absurdement;4003;-;-;-;-;-;a p s y R d @ m a~;morphalou2 dela dicollecte lglex
abusivement;442;Adverbe;;;-;;a b y z i v @ m a~;morphalou2 dela dicollecte lglex lefff;abusivement;4075;-;-;-;-;-;a b y z i v @ m a~;morphalou2 dela dicollecte lglex lefff
