---------------------------------------------------------------------------
Morphalou3.1 : Lexique morphologique ouvert du français – Ce fichier contient uniquement les Mots grammaticaux (nombres, prépositions, pronoms, conjonctions et déterminants)
813 lemmes et 1 326 formes fléchies de catégorie Mots grammaticaux (nombres, prépositions, pronoms, conjonctions et déterminants) (sur un total de 159 271 lemmes et 976 570 formes fléchies, toutes catégories confondues)
Le maintien et la mise à jour du lexique sont assurés par l'ATILF CNRS. (44 avenue de la Libération 54000 Nancy)
Morphalou3 est distribué sous licence LGPL-LR.
Version de 6/2016
Morphalou3 est le résultat de la fusion de 5 lexiques :
	- Morphalou2 (décembre 2013) : http://www.cnrtl.fr/lexiques/morphalou/
	- DELA (décembre 2011) : http://infolingu.univ-mlv.fr/
	- Dicollecte (4.3) : http://dicollecte.org/home.php?prj=fr
	- Lefff (2.1) : http://www.labri.fr/perso/clement/lefff/
	- LGLex et LGLexLefff (3.4) : http://infolingu.univ-mlv.fr/
Ce travail a été réalisé par Marie TONNELIER dans le cadre du projet Ortolang. (ORTOLANG bénéficie d'une aide de l’Etat au titre du programme « Investissements d’avenir » ANR–11–EQPX–0032)
---------------------------------------------------------------------------
LEMME;;;;;;;;;FLEXION;;;;;;;;
GRAPHIE;ID;CATÉGORIE;SOUS CATÉGORIE;LOCUTION;GENRE;AUTRES LEMMES LIÉS;PHONÉTIQUE;ORIGINES;GRAPHIE;ID;NOMBRE;MODE;GENRE;TEMPS;PERSONNE;PHONÉTIQUE;ORIGINES
a;168847;Préposition;;;-;;;lglex;a;1019140;-;-;-;-;-;;lglex
afin de;170507;Préposition;;;-;;;lefff;afin de;1036574;-;-;-;-;-;;lefff
;;;;;;;;;afin d';1036575;-;-;-;-;-;;lefff
après;5480;Préposition;;;-;;a p R E OU a p R E/ ;morphalou2 dela dicollecte lglex lefff;après;39361;-;-;-;-;-;a p R E OU a p R E/ ;morphalou2 dela dicollecte lglex lefff
attendu;101323;Préposition;;;-;;;dela dicollecte;attendu;819306;-;-;-;-;-;;dela dicollecte
au beau milieu de;170594;Préposition;;;-;;;lefff;au beau milieu de;1037057;-;-;-;-;-;;lefff
;;;;;;;;;au beau milieu d';1037058;-;-;-;-;-;;lefff
au bord de;170595;Préposition;;;-;;;lefff;au bord de;1037059;-;-;-;-;-;;lefff
;;;;;;;;;au bord d';1037060;-;-;-;-;-;;lefff
au bout de;170596;Préposition;;;-;;;lefff;au bout de;1037061;-;-;-;-;-;;lefff
;;;;;;;;;au bout d';1037062;-;-;-;-;-;;lefff
au centre de;170599;Préposition;;;-;;;lefff;au centre de;1037065;-;-;-;-;-;;lefff
;;;;;;;;;au centre d';1037066;-;-;-;-;-;;lefff
au comble de;170600;Préposition;;;-;;;lefff;au comble de;1037067;-;-;-;-;-;;lefff
;;;;;;;;;au comble d';1037068;-;-;-;-;-;;lefff
au cours de;170601;Préposition;;;-;;;lefff;au cours de;1037069;-;-;-;-;-;;lefff
