---------------------------------------------------------------------------
Morphalou3.1 : Lexique morphologique ouvert du français – Ce fichier contient uniquement les Interjection
422 lemmes et 422 formes fléchies de catégorie Interjection (sur un total de 159 271 lemmes et 976 570 formes fléchies, toutes catégories confondues)
Le maintien et la mise à jour du lexique sont assurés par l'ATILF CNRS. (44 avenue de la Libération 54000 Nancy)
Morphalou3 est distribué sous licence LGPL-LR.
Version de 6/2016
Morphalou3 est le résultat de la fusion de 5 lexiques :
	- Morphalou2 (décembre 2013) : http://www.cnrtl.fr/lexiques/morphalou/
	- DELA (décembre 2011) : http://infolingu.univ-mlv.fr/
	- Dicollecte (4.3) : http://dicollecte.org/home.php?prj=fr
	- Lefff (2.1) : http://www.labri.fr/perso/clement/lefff/
	- LGLex et LGLexLefff (3.4) : http://infolingu.univ-mlv.fr/
Ce travail a été réalisé par Marie TONNELIER dans le cadre du projet Ortolang. (ORTOLANG bénéficie d'une aide de l’Etat au titre du programme « Investissements d’avenir » ANR–11–EQPX–0032)
---------------------------------------------------------------------------
LEMME;;;;;;;;;FLEXION;;;;;;;;
GRAPHIE;ID;CATÉGORIE;SOUS CATÉGORIE;LOCUTION;GENRE;AUTRES LEMMES LIÉS;PHONÉTIQUE;ORIGINES;GRAPHIE;ID;NOMBRE;MODE;GENRE;TEMPS;PERSONNE;PHONÉTIQUE;ORIGINES
acré;1193;Interjection;;;-;;a k R e;morphalou2;acré;10728;-;-;-;-;-;a k R e;morphalou2
adieu;1462;Interjection;;;-;;a d j 2;morphalou2 dela;adieu;12214;-;-;-;-;-;a d j 2;morphalou2 dela
ah;2485;Interjection;;;-;;a;morphalou2 dela dicollecte lefff;ah;20630;-;-;-;-;-;a;morphalou2 dela dicollecte lefff
aha;2486;Interjection;;;-;;a a;morphalou2;aha;20631;-;-;-;-;-;a a;morphalou2
ahah;2487;Interjection;;;-;"variante du lemme #2486 ""aha""";a a;morphalou2;ahah;20634;-;-;-;-;-;a a;morphalou2
ahi;2496;Interjection;;;-;;a i;morphalou2 dicollecte;ahi;20753;-;-;-;-;-;a i;morphalou2 dicollecte
aho;2497;Interjection;;;-;;a o;morphalou2;aho;20755;-;-;-;-;-;a o;morphalou2
ahou;2500;Interjection;;;-;;a u;morphalou2;ahou;20811;-;-;-;-;-;a u;morphalou2
ahouahou;2501;Interjection;;;-;;a u a u;morphalou2;ahouahou;20812;-;-;-;-;-;a u a u;morphalou2
ahuro;2508;Interjection;;;-;;a y R o;morphalou2;ahuro;20877;-;-;-;-;-;a y R o;morphalou2
ahé;2509;Interjection;;;-;;a e;morphalou2;ahé;20878;-;-;-;-;-;a e;morphalou2
allah;3086;Interjection;;;-;;a l a;morphalou2;allah;24071;-;-;-;-;-;a l a;morphalou2
allo;3139;Interjection;;;-;;a l o;morphalou2 dela dicollecte lefff;allo;24402;-;-;-;-;-;a l o;morphalou2 dela dicollecte lefff
alléluia;3250;Interjection;;;-;;a l e l u j a OU a l E/ l u j a ;morphalou2 dicollecte;alléluia;25410;-;-;-;-;-;a l e l u j a OU a l E/ l u j a ;morphalou2 dicollecte
allô;3251;Interjection;;;-;"variante du lemme #3139 ""allo""";a l o;morphalou2 dela dicollecte;allô;25412;-;-;-;-;-;a l o;morphalou2 dela dicollecte
amen;3609;Interjection;;;-;;a m E n;morphalou2 dela dicollecte;amen;27476;-;-;-;-;-;a m E n;morphalou2 dela dicollecte
aïe;7791;Interjection;;;-;"variante du lemme #2496 ""ahi""";a j @;morphalou2 dela dicollecte lefff;aïe;54837;-;-;-;-;-;a j @;morphalou2 dela dicollecte lefff
bah;7998;Interjection;;;-;;b a;morphalou2 dela dicollecte;bah;55933;-;-;-;-;-;b a;morphalou2 dela dicollecte
bang;8311;Interjection;onomatopée;;-;;b a~ g;morphalou2 dela;bang;58113;-;-;-;-;-;b a~ g;morphalou2 dela
barca;8472;Interjection;;;-;;b a R k a;morphalou2;barca;59433;-;-;-;-;-;b a R k a;morphalou2
bernique;9072;Interjection;;;-;;b E R n i k @;morphalou2 dela dicollecte;bernique;63148;-;-;-;-;-;b E R n i k @;morphalou2 dela dicollecte
beuh;9124;Interjection;onomatopée;;-;;b 2;morphalou2;beuh;63411;-;-;-;-;-;b 2;morphalou2
bing;9444;Interjection;onomatopée;;-;;b i N N;morphalou2;bing;65294;-;-;-;-;-;b i N N;morphalou2
bouffre;10426;Interjection;;;-;;b u f R @;morphalou2;bouffre;72446;-;-;-;-;-;b u f R @;morphalou2
boufre;10428;Interjection;;;-;"variante du lemme #10426 ""bouffre""";b u f R @;morphalou2;boufre;72451;-;-;-;-;-;b u f R @;morphalou2
boum;10578;Interjection;onomatopée;;-;;b u m;morphalou2 dela;boum;73777;-;-;-;-;-;b u m;morphalou2 dela
broum;11385;Interjection;onomatopée;;-;;b R u m;morphalou2 dela dicollecte;broum;80710;-;-;-;-;-;b R u m;morphalou2 dela dicollecte
brr;11410;Interjection;;;-;;b R;morphalou2;brr;80914;-;-;-;-;-;b R;morphalou2
bé;11837;Interjection;;;-;;b e;morphalou2;bé;83990;-;-;-;-;-;b e;morphalou2
bédieu;11890;Interjection;;;-;;b e d j 2 OU b E/ d j 2 ;morphalou2;bédieu;84313;-;-;-;-;-;b e d j 2 OU b E/ d j 2 ;morphalou2
caramba;13192;Interjection;;;-;;k a R a~ b a;morphalou2;caramba;93518;-;-;-;-;-;k a R a~ b a;morphalou2
chut;15268;Interjection;;;-;;S y t;morphalou2 dela dicollecte;chut;107786;-;-;-;-;-;S y t;morphalou2 dela dicollecte
ciao;15357;Interjection;;;-;;t S a w;morphalou2 dela dicollecte lefff;ciao;108286;-;-;-;-;-;t S a w;morphalou2 dela dicollecte lefff
clac;15653;Interjection;onomatopée;;-;;k l a k;morphalou2 dela dicollecte;clac;109888;-;-;-;-;-;k l a k;morphalou2 dela dicollecte
clic;15816;Interjection;onomatopée;;-;;k l i k;morphalou2 dela dicollecte;clic;111344;-;-;-;-;-;k l i k;morphalou2 dela dicollecte
corbleu;18192;Interjection;;;-;;k O R b l 2;morphalou2 dela;corbleu;130652;-;-;-;-;-;k O R b l 2;morphalou2 dela
cordieu;18213;Interjection;;;-;"variante du lemme #18192 ""corbleu""";k O R d j 2;morphalou2;cordieu;130819;-;-;-;-;-;k O R d j 2;morphalou2
cotcodac;18503;Interjection;onomatopée;;-;;k O t k O d a k OU k O/ t k O/ d a k ;morphalou2;cotcodac;132521;-;-;-;-;-;k O t k O d a k OU k O/ t k O/ d a k ;morphalou2
couic;18612;Interjection;onomatopée;;-;;k w i k;morphalou2 dela dicollecte;couic;133646;-;-;-;-;-;k u i k;morphalou2 dela dicollecte
crac;18895;Interjection;onomatopée;;-;;k R a k;morphalou2 dela dicollecte;crac;135805;-;-;-;-;-;k R a k;morphalou2 dela dicollecte
cuic;19476;Interjection;onomatopée;;-;"variante du lemme #18612 ""couic""";k H i k;morphalou2;cuic;140784;-;-;-;-;-;k H i k;morphalou2
da;19988;Interjection;;;-;;d a;morphalou2 dela;da;143679;-;-;-;-;-;d a;morphalou2 dela
dia;20404;Interjection;;;-;;d j a;morphalou2 dela dicollecte;dia;146752;-;-;-;-;-;d j a;morphalou2 dela dicollecte
diablezot;20410;Interjection;;;-;;d j a b l @ z o;morphalou2;diablezot;146762;-;-;-;-;-;d j a b l @ z o;morphalou2
dondaine;21394;Interjection;onomatopée;;-;;d o~ d E n @;morphalou2;dondaine;154302;-;-;-;-;-;d o~ d E n @;morphalou2
dondon;21396;Interjection;onomatopée;;-;;d o~ d o~;morphalou2;dondon;154305;-;-;-;-;-;d o~ d o~;morphalou2
drelin;21625;Interjection;onomatopée;;-;;d R @ l e~;morphalou2 dela dicollecte;drelin;155855;-;-;-;-;-;d R @ l e~;morphalou2 dela dicollecte
dring;21657;Interjection;onomatopée;;-;;d R i n g;morphalou2 dela dicollecte;dring;156024;-;-;-;-;-;d R i n g;morphalou2 dela dicollecte
eh;24372;Interjection;;;-;;e OU E/ ;morphalou2 dela dicollecte;eh;198346;-;-;-;-;-;e OU E/ ;morphalou2 dela dicollecte
euh;25984;Interjection;;;-;;2 OU 6 ;morphalou2 dela dicollecte lefff;euh;223084;-;-;-;-;-;2 OU 6 ;morphalou2 dela dicollecte lefff
eurêka;26026;Interjection;;;-;;2 R E k a OU 6 R E/ k a ;morphalou2 dela dicollecte;eurêka;223281;-;-;-;-;-;2 R E k a OU 6 R E/ k a ;morphalou2 dela dicollecte
faridondaine;26816;Interjection;onomatopée;;-;;f a R i d o~ d E n @;morphalou2;faridondaine;230377;-;-;-;-;-;f a R i d o~ d E n @;morphalou2
fi;27167;Interjection;;;-;;f i;morphalou2 dela dicollecte;fi;232877;-;-;-;-;-;f i;morphalou2 dela dicollecte
fichtre;27206;Interjection;;;-;;f i S t R @;morphalou2 dela dicollecte;fichtre;233163;-;-;-;-;-;f i S t R @;morphalou2 dela dicollecte
fla;27437;Interjection;onomatopée;;-;;f l a;morphalou2 dicollecte;fla;234714;-;-;-;-;-;f l a;morphalou2 dicollecte
flac;27443;Interjection;onomatopée;;-;;f l a k;morphalou2 dela dicollecte;flac;234729;-;-;-;-;-;f l a k;morphalou2 dela dicollecte
floc;27606;Interjection;onomatopée;;-;;f l O k;morphalou2 dela dicollecte;floc;236173;-;-;-;-;-;f l O k;morphalou2 dela dicollecte
fouchtra;28006;Interjection;;;-;;f u S t R a;morphalou2 dela dicollecte;fouchtra;239487;-;-;-;-;-;f u S t R a;morphalou2 dela dicollecte
