---------------------------------------------------------------------------
Morphalou3.1 : Lexique morphologique ouvert du français – Ce fichier contient uniquement les non catégorisés
356 lemmes et 356 formes fléchies de catégorie non catégorisés (sur un total de 159 271 lemmes et 976 570 formes fléchies, toutes catégories confondues)
Le maintien et la mise à jour du lexique sont assurés par l'ATILF CNRS. (44 avenue de la Libération 54000 Nancy)
Morphalou3 est distribué sous licence LGPL-LR.
Version de 6/2016
Morphalou3 est le résultat de la fusion de 5 lexiques :
	- Morphalou2 (décembre 2013) : http://www.cnrtl.fr/lexiques/morphalou/
	- DELA (décembre 2011) : http://infolingu.univ-mlv.fr/
	- Dicollecte (4.3) : http://dicollecte.org/home.php?prj=fr
	- Lefff (2.1) : http://www.labri.fr/perso/clement/lefff/
	- LGLex et LGLexLefff (3.4) : http://infolingu.univ-mlv.fr/
Ce travail a été réalisé par Marie TONNELIER dans le cadre du projet Ortolang. (ORTOLANG bénéficie d'une aide de l’Etat au titre du programme « Investissements d’avenir » ANR–11–EQPX–0032)
---------------------------------------------------------------------------
LEMME;;;;;;;;;FLEXION;;;;;;;;
GRAPHIE;ID;CATÉGORIE;SOUS CATÉGORIE;LOCUTION;GENRE;AUTRES LEMMES LIÉS;PHONÉTIQUE;ORIGINES;GRAPHIE;ID;NOMBRE;MODE;GENRE;TEMPS;PERSONNE;PHONÉTIQUE;ORIGINES
ouais;44547;;;;-;;w E OU w E/ ;morphalou2 dicollecte;ouais;344385;-;-;-;-;-;w E OU w E/ ;morphalou2 dicollecte
vive;64656;;;;-;;v i v @;morphalou2;vive;500053;-;-;-;-;-;v i v @;morphalou2
ab hoc et ab hac;67414;;;;-;;a b O k E t a b a k;morphalou2;ab hoc et ab hac;1019176;-;-;-;-;-;a b O k E t a b a k;
ab intestat;67415;;;;-;;a b e~ t E s t a;morphalou2;ab intestat;1019177;-;-;-;-;-;a b e~ t E s t a;
ab irato;67416;;;;-;;a b i R a t o;morphalou2;ab irato;1019178;-;-;-;-;-;a b i R a t o;
ab ovo;67418;;;;-;;a b O v o OU a b O/ v o ;morphalou2;ab ovo;1019180;-;-;-;-;-;a b O v o OU a b O/ v o ;
aco;67500;;;;-;;a k o;morphalou2;aco;1019236;-;-;-;-;-;a k o;
à contre-lumière;67502;;;;-;;a k o~ t R @ l y m j E R @;morphalou2;à contre-lumière;1019238;-;-;-;-;-;a k o~ t R @ l y m j E R @;
ad hoc;67605;;;;-;;a d O k;morphalou2;ad hoc;1019304;-;-;-;-;-;a d O k;
ad hominem;67607;;;;-;;a d O m i n E m OU a d O/ m i n E m ;morphalou2;ad hominem;1019306;-;-;-;-;-;a d O m i n E m OU a d O/ m i n E m ;
ad honores;67608;;;;-;;a d O n O R E s OU a d O/ n O R E s ;morphalou2;ad honores;1019307;-;-;-;-;-;a d O n O R E s OU a d O/ n O R E s ;
adieu-va;67611;;;;-;;a d j 2 v a;morphalou2;adieu-va;1019310;-;-;-;-;-;a d j 2 v a;
adieu-vat;67612;;;;-;;a d j 2 v a;morphalou2;adieu-vat;1019311;-;-;-;-;-;a d j 2 v a;
ad libitum;67628;;;;-;;a d l i b i t O m;morphalou2;ad libitum;1019322;-;-;-;-;-;a d l i b i t O m;
ad patres;67631;;;;-;;a d p a t R E s;morphalou2;ad patres;1019325;-;-;-;-;-;a d p a t R E s;
ad referendum;67632;;;;-;;a d R e f e R a~ d O m OU a d R E/ f E/ R a~ d O m ;morphalou2;ad referendum;1019326;-;-;-;-;-;a d R e f e R a~ d O m OU a d R E/ f E/ R a~ d O m ;
